iter	Passed	Remaining
536	7827	721030
537	7843	721141
538	7855	720819
539	7866	720477
540	7877	720179
541	7891	720085
542	7899	719499
543	7912	719343
544	7923	718989
545	7934	718679
546	7946	718408
547	7959	718304
548	7973	718173
549	7986	718024
550	7999	717922
551	8010	717600
552	8019	717103
553	8033	717039
554	8042	716467
555	8057	716574
556	8071	716461
557	8084	716374
558	8093	715858
559	8104	715481
560	8114	715093
561	8124	714739
562	8134	714330
563	8145	713932
564	8153	713387
565	8163	712969
566	8172	712538
567	8178	711787
568	8195	711932
569	8203	711403
570	8213	711012
571	8227	711000
572	8236	710445
573	8246	710072
574	8258	709903
575	8269	709585
576	8281	709354
577	8293	709101
578	8308	709204
579	8318	708798
580	8330	708558
581	8342	708368
582	8354	708139
583	8364	707780
584	8374	707413
585	8385	707112
586	8396	706830
587	8414	707084
588	8428	707042
589	8438	706697
590	8449	706404
591	8464	706414
592	8481	706662
593	8497	706761
594	8507	706439
595	8522	706420
596	8537	706478
597	8550	706337
598	8565	706405
599	8586	706965
600	8600	706911
601	8617	707160
602	8627	706752
603	8636	706286
604	8647	706044
605	8662	706054
606	8671	705611
607	8691	706076
608	8707	706222
609	8718	705914
610	8736	706174
611	8752	706329
612	8766	706287
613	8781	706303
614	8794	706179
615	8805	705909
616	8817	705763
617	8833	705880
618	8848	705881
619	8862	705826
620	8875	705747
621	8887	705516
622	8896	705145
623	8906	704776
624	8920	704706
625	8931	704470
626	8945	704441
627	8957	704228
628	8966	703797
629	8977	703545
630	8991	703514
631	9006	703538
632	9014	703053
633	9029	703056
634	9042	702975
635	9057	703028
636	9071	702987
637	9082	702746
638	9097	702733
639	9107	702416
640	9120	702311
641	9133	702206
642	9142	701804
643	9156	701775
644	9167	701453
645	9176	701071
646	9188	700866
647	9202	700885
648	9213	700609
649	9222	700238
650	9234	700013
651	9248	699972
652	9260	699809
653	9275	699884
654	9285	699559
655	9300	699547
656	9314	699533
657	9326	699388
658	9339	699237
659	9352	699172
660	9367	699185
661	9380	699121
662	9393	699017
663	9405	698825
664	9418	698709
665	9430	698558
666	9447	698726
667	9463	698860
668	9477	698851
669	9489	698699
670	9501	698492
671	9512	698264
672	9523	697985
673	9536	697910
674	9548	697780
675	9562	697701
676	9572	697372
677	9583	697186
678	9596	697057
679	9607	696843
680	9621	696809
681	9634	696695
682	9648	696681
683	9658	696370
684	9670	696180
685	9682	696055
